Seed,Network_Type,N_max,Epoch,Base_Loss,Size_Loss,Hidden_Layer_Size,Learning_Rate,Num_Epochs,Size_Influence
3,Spiral_Grown,10,0,1.6559338569641113,0.0,[1.],0.001,5000,0.01
3,Spiral_Grown,10,100,1.5458965301513672,0.0,[1.],0.001,5000,0.01
3,Spiral_Grown,10,200,1.455891489982605,0.0,[1.],0.001,5000,0.01
3,Spiral_Grown,10,300,1.372828483581543,0.0,[1.],0.001,5000,0.01
3,Spiral_Grown,10,400,1.317926049232483,0.0,[1.],0.001,5000,0.01
3,Spiral_Grown,10,500,1.2898876667022705,0.0,[1.],0.001,5000,0.01
3,Spiral_Grown,10,600,1.2758582830429077,0.0,[1.],0.001,5000,0.01
3,Spiral_Grown,10,700,1.2673087120056152,0.0,[1.],0.001,5000,0.01
3,Spiral_Grown,10,800,1.2604771852493286,0.0,[1.],0.001,5000,0.01
3,Spiral_Grown,10,900,1.2534836530685425,0.0,[1.],0.001,5000,0.01
3,Spiral_Grown,10,1000,1.2449308633804321,0.0,[1.],0.001,5000,0.01
3,Spiral_Grown,10,1100,1.233628273010254,0.0,[1.],0.001,5000,0.01
3,Spiral_Grown,10,1200,1.2184535264968872,0.0,[1.],0.001,5000,0.01
3,Spiral_Grown,10,1300,1.1982450485229492,0.0,[1.],0.001,5000,0.01
3,Spiral_Grown,10,1400,1.1722333431243896,0.0,[1.],0.001,5000,0.01
3,Spiral_Grown,10,1500,1.1406338214874268,0.0,[1.],0.001,5000,0.01
3,Spiral_Grown,10,1600,1.1049381494522095,0.0,[1.],0.001,5000,0.01
3,Spiral_Grown,10,1700,1.0672385692596436,0.0,[1.],0.001,5000,0.01
3,Spiral_Grown,10,1800,1.0292901992797852,0.0,[1.],0.001,5000,0.01
3,Spiral_Grown,10,1900,0.9920933246612549,0.0,[1.],0.001,5000,0.01
3,Spiral_Grown,10,2000,0.9561001062393188,0.0,[1.],0.001,5000,0.01
3,Spiral_Grown,10,2100,0.9216371774673462,0.0,[1.],0.001,5000,0.01
3,Spiral_Grown,10,2200,0.8890570998191833,0.0,[1.],0.001,5000,0.01
3,Spiral_Grown,10,2300,0.8586283922195435,0.0,[1.],0.001,5000,0.01
3,Spiral_Grown,10,2400,0.8304305076599121,0.0,[1.],0.001,5000,0.01
3,Spiral_Grown,10,2500,0.8043618202209473,0.0,[1.],0.001,5000,0.01
3,Spiral_Grown,10,2600,0.7802136540412903,0.0,[1.],0.001,5000,0.01
3,Spiral_Grown,10,2700,0.7577415108680725,0.0,[1.],0.001,5000,0.01
3,Spiral_Grown,10,2800,0.7367079854011536,0.0,[1.],0.001,5000,0.01
3,Spiral_Grown,10,2900,0.7168930172920227,0.0,[1.],0.001,5000,0.01
3,Spiral_Grown,10,3000,0.698082447052002,0.0,[1.],0.001,5000,0.01
3,Spiral_Grown,10,3100,0.6800652146339417,0.0,[1.],0.001,5000,0.01
3,Spiral_Grown,10,3200,0.6626662611961365,0.0,[1.],0.001,5000,0.01
3,Spiral_Grown,10,3300,0.6457812786102295,0.0,[1.],0.001,5000,0.01
3,Spiral_Grown,10,3400,0.6293700337409973,0.0,[1.],0.001,5000,0.01
3,Spiral_Grown,10,3500,0.6134341359138489,0.0,[1.],0.001,5000,0.01
3,Spiral_Grown,10,3600,0.598003089427948,0.0,[1.],0.001,5000,0.01
3,Spiral_Grown,10,3700,0.5831230282783508,0.0,[1.],0.001,5000,0.01
3,Spiral_Grown,10,3800,0.5688450336456299,0.0,[1.],0.001,5000,0.01
3,Spiral_Grown,10,3900,0.5552133917808533,0.0,[1.],0.001,5000,0.01
3,Spiral_Grown,10,4000,0.542255163192749,0.0,[1.],0.001,5000,0.01
3,Spiral_Grown,10,4100,0.5299735069274902,0.0,[1.],0.001,5000,0.01
3,Spiral_Grown,10,4200,0.5183451771736145,0.0,[1.],0.001,5000,0.01
3,Spiral_Grown,10,4300,0.507319986820221,0.0,[1.],0.001,5000,0.01
3,Spiral_Grown,10,4400,0.49682530760765076,0.0,[1.],0.001,5000,0.01
3,Spiral_Grown,10,4500,0.4867818057537079,0.0,[1.],0.001,5000,0.01
3,Spiral_Grown,10,4600,0.47713813185691833,0.0,[1.],0.001,5000,0.01
3,Spiral_Grown,10,4700,0.46789443492889404,0.0,[1.],0.001,5000,0.01
3,Spiral_Grown,10,4800,0.45908117294311523,0.0,[1.],0.001,5000,0.01
3,Spiral_Grown,10,4900,0.4507220387458801,0.0,[1.],0.001,5000,0.01
3,Spiral_Growing,10,0,1.6145564317703247,0.009980021975934505,[0.0009994],0.001,5000,0.01
3,Spiral_Growing,10,100,1.6071661710739136,0.008114166557788849,[0.09921332],0.001,5000,0.01
3,Spiral_Growing,10,200,1.5703502893447876,0.006521807052195072,[0.19242291],0.001,5000,0.01
3,Spiral_Growing,10,300,1.462707757949829,0.0051783290691673756,[0.2803939],0.001,5000,0.01
3,Spiral_Growing,10,400,1.3405574560165405,0.004057326354086399,[0.36302856],0.001,5000,0.01
3,Spiral_Growing,10,500,1.2781434059143066,0.0031333789229393005,[0.44023407],0.001,5000,0.01
3,Spiral_Growing,10,600,1.2493356466293335,0.002382135484367609,[0.51192874],0.001,5000,0.01
3,Spiral_Growing,10,700,1.2223848104476929,0.0017804213566705585,[0.5780496],0.001,5000,0.01
3,Spiral_Growing,10,800,1.1859594583511353,0.0013063831720501184,[0.6385608],0.001,5000,0.01
3,Spiral_Growing,10,900,1.1386439800262451,0.0009396567475050688,[0.6934618],0.001,5000,0.01
3,Spiral_Growing,10,1000,1.0823206901550293,0.0006615340826101601,[0.74279696],0.001,5000,0.01
3,Spiral_Growing,10,1100,1.020372986793518,0.00045512753422372043,[0.7866628],0.001,5000,0.01
3,Spiral_Growing,10,1200,0.9610103368759155,0.00030549761140719056,[0.8252151],0.001,5000,0.01
3,Spiral_Growing,10,1300,0.9081509709358215,0.00019973883172497153,[0.858671],0.001,5000,0.01
3,Spiral_Growing,10,1400,0.8615434765815735,0.00012699230865109712,[0.88730913],0.001,5000,0.01
3,Spiral_Growing,10,1500,0.8208090662956238,7.838405144866556e-05,[0.9114652],0.001,5000,0.01
3,Spiral_Growing,10,1600,0.785371720790863,4.688965418608859e-05,[0.931524],0.001,5000,0.01
3,Spiral_Growing,10,1700,0.7543348670005798,2.713857429625932e-05,[0.9479053],0.001,5000,0.01
3,Spiral_Growing,10,1800,0.7267371416091919,1.517058080935385e-05,[0.96105057],0.001,5000,0.01
3,Spiral_Growing,10,1900,0.7017971873283386,8.17631371319294e-06,[0.97140574],0.001,5000,0.01
3,Spiral_Growing,10,2000,0.678954005241394,4.240883299644338e-06,[0.9794066],0.001,5000,0.01
3,Spiral_Growing,10,2100,0.6578314304351807,2.112890342687024e-06,[0.9854642],0.001,5000,0.01
3,Spiral_Growing,10,2200,0.638176679611206,1.0091024478242616e-06,[0.9899546],0.001,5000,0.01
3,Spiral_Growing,10,2300,0.6198258996009827,4.609900372543052e-07,[0.9932104],0.001,5000,0.01
3,Spiral_Growing,10,2400,0.6026961803436279,2.0100891617857997e-07,[0.9955166],0.001,5000,0.01
3,Spiral_Growing,10,2500,0.586731493473053,8.343435808910726e-08,[0.9971115],0.001,5000,0.01
3,Spiral_Growing,10,2600,0.571885883808136,3.289759220592714e-08,[0.99818623],0.001,5000,0.01
3,Spiral_Growing,10,2700,0.5580886006355286,1.2287003414712672e-08,[0.99889153],0.001,5000,0.01
3,Spiral_Growing,10,2800,0.5452399849891663,4.334027359220727e-09,[0.99934167],0.001,5000,0.01
3,Spiral_Growing,10,2900,0.5332409143447876,1.4393187752759218e-09,[0.9996206],0.001,5000,0.01
3,Spiral_Growing,10,3000,0.5219303369522095,4.484877746957494e-10,[0.9997882],0.001,5000,0.01
3,Spiral_Growing,10,3100,0.5111833214759827,1.3083084615672647e-10,[0.9998856],0.001,5000,0.01
3,Spiral_Growing,10,3200,0.5009011030197144,3.545611720889852e-11,[0.99994045],0.001,5000,0.01
3,Spiral_Growing,10,3300,0.49103716015815735,8.846292622044505e-12,[0.99997026],0.001,5000,0.01
3,Spiral_Growing,10,3400,0.48159313201904297,2.115143563768962e-12,[0.99998546],0.001,5000,0.01
3,Spiral_Growing,10,3500,0.47256243228912354,5.030997862233433e-13,[0.9999929],0.001,5000,0.01
3,Spiral_Growing,10,3600,0.463959664106369,1.1141309635932448e-13,[0.99999666],0.001,5000,0.01
3,Spiral_Growing,10,3700,0.455776184797287,1.1141309635932448e-13,[0.99999666],0.001,5000,0.01
3,Spiral_Growing,10,3800,0.44801759719848633,1.1141309635932448e-13,[0.99999666],0.001,5000,0.01
3,Spiral_Growing,10,3900,0.4406660497188568,1.0746958878371515e-13,[0.9999967],0.001,5000,0.01
3,Spiral_Growing,10,4000,0.4337041676044464,9.606537435110848e-14,[0.9999969],0.001,5000,0.01
3,Spiral_Growing,10,4100,0.42712080478668213,8.881784197001252e-14,[0.999997],0.001,5000,0.01
3,Spiral_Growing,10,4200,0.42088741064071655,7.847944570680415e-14,[0.9999972],0.001,5000,0.01
3,Spiral_Growing,10,4300,0.41499361395835876,7.194245199571014e-14,[0.9999973],0.001,5000,0.01
3,Spiral_Growing,10,4400,0.4093998670578003,6.568967510786963e-14,[0.99999744],0.001,5000,0.01
3,Spiral_Growing,10,4500,0.404099702835083,5.684341886080802e-14,[0.9999976],0.001,5000,0.01
3,Spiral_Growing,10,4600,0.3990686535835266,5.1301184031101246e-14,[0.99999774],0.001,5000,0.01
3,Spiral_Growing,10,4700,0.394286185503006,4.6043169412779764e-14,[0.99999785],0.001,5000,0.01
3,Spiral_Growing,10,4800,0.3897339403629303,4.3520742565306136e-14,[0.9999979],0.001,5000,0.01
3,Spiral_Growing,10,4900,0.38539785146713257,3.868904979373311e-14,[0.99999803],0.001,5000,0.01
3,Spiral_Grown,10,0,1.6559338569641113,0.0,[1.],0.001,5000,0.02
3,Spiral_Grown,10,100,1.5458965301513672,0.0,[1.],0.001,5000,0.02
3,Spiral_Grown,10,200,1.455891489982605,0.0,[1.],0.001,5000,0.02
3,Spiral_Grown,10,300,1.372828483581543,0.0,[1.],0.001,5000,0.02
3,Spiral_Grown,10,400,1.317926049232483,0.0,[1.],0.001,5000,0.02
3,Spiral_Grown,10,500,1.2898876667022705,0.0,[1.],0.001,5000,0.02
3,Spiral_Grown,10,600,1.2758582830429077,0.0,[1.],0.001,5000,0.02
3,Spiral_Grown,10,700,1.2673087120056152,0.0,[1.],0.001,5000,0.02
