Seed,Network_Type,N_max,Epoch,Base_Loss,Size_Loss,Hidden_Layer_Size,Learning_Rate,Num_Epochs,Size_Influence
6,Spiral_Grown,10,0,1.620219349861145,0.0,[1.],0.001,5000,0.01
6,Spiral_Grown,10,100,1.5112916231155396,0.0,[1.],0.001,5000,0.01
6,Spiral_Grown,10,200,1.4119062423706055,0.0,[1.],0.001,5000,0.01
6,Spiral_Grown,10,300,1.3382703065872192,0.0,[1.],0.001,5000,0.01
6,Spiral_Grown,10,400,1.2981953620910645,0.0,[1.],0.001,5000,0.01
6,Spiral_Grown,10,500,1.2790989875793457,0.0,[1.],0.001,5000,0.01
6,Spiral_Grown,10,600,1.2693519592285156,0.0,[1.],0.001,5000,0.01
6,Spiral_Grown,10,700,1.2623392343521118,0.0,[1.],0.001,5000,0.01
6,Spiral_Grown,10,800,1.2549139261245728,0.0,[1.],0.001,5000,0.01
6,Spiral_Grown,10,900,1.2453824281692505,0.0,[1.],0.001,5000,0.01
6,Spiral_Grown,10,1000,1.2323848009109497,0.0,[1.],0.001,5000,0.01
6,Spiral_Grown,10,1100,1.2152540683746338,0.0,[1.],0.001,5000,0.01
6,Spiral_Grown,10,1200,1.1940096616744995,0.0,[1.],0.001,5000,0.01
6,Spiral_Grown,10,1300,1.1690462827682495,0.0,[1.],0.001,5000,0.01
6,Spiral_Grown,10,1400,1.1411101818084717,0.0,[1.],0.001,5000,0.01
6,Spiral_Grown,10,1500,1.1110738515853882,0.0,[1.],0.001,5000,0.01
6,Spiral_Grown,10,1600,1.0797662734985352,0.0,[1.],0.001,5000,0.01
6,Spiral_Grown,10,1700,1.047888159751892,0.0,[1.],0.001,5000,0.01
6,Spiral_Grown,10,1800,1.0159409046173096,0.0,[1.],0.001,5000,0.01
6,Spiral_Grown,10,1900,0.9841739535331726,0.0,[1.],0.001,5000,0.01
6,Spiral_Grown,10,2000,0.9526090621948242,0.0,[1.],0.001,5000,0.01
6,Spiral_Grown,10,2100,0.9211961030960083,0.0,[1.],0.001,5000,0.01
6,Spiral_Grown,10,2200,0.8900554180145264,0.0,[1.],0.001,5000,0.01
6,Spiral_Grown,10,2300,0.8594782948493958,0.0,[1.],0.001,5000,0.01
6,Spiral_Grown,10,2400,0.8296613693237305,0.0,[1.],0.001,5000,0.01
6,Spiral_Grown,10,2500,0.800724983215332,0.0,[1.],0.001,5000,0.01
6,Spiral_Grown,10,2600,0.7728868722915649,0.0,[1.],0.001,5000,0.01
6,Spiral_Grown,10,2700,0.7464278340339661,0.0,[1.],0.001,5000,0.01
6,Spiral_Grown,10,2800,0.7215422987937927,0.0,[1.],0.001,5000,0.01
6,Spiral_Grown,10,2900,0.6982566118240356,0.0,[1.],0.001,5000,0.01
6,Spiral_Grown,10,3000,0.6764713525772095,0.0,[1.],0.001,5000,0.01
6,Spiral_Grown,10,3100,0.6560617685317993,0.0,[1.],0.001,5000,0.01
