Seed,Network_Type,N_max,Epoch,Base_Loss,Size_Loss,Hidden_Layer_Size,Learning_Rate,Num_Epochs,Size_Influence
2,Spiral_Grown,10,0,1.5801812410354614,0.0,[1.],0.001,5000,0.01
2,Spiral_Grown,10,100,1.4671038389205933,0.0,[1.],0.001,5000,0.01
2,Spiral_Grown,10,200,1.3681955337524414,0.0,[1.],0.001,5000,0.01
2,Spiral_Grown,10,300,1.3053330183029175,0.0,[1.],0.001,5000,0.01
2,Spiral_Grown,10,400,1.2753956317901611,0.0,[1.],0.001,5000,0.01
2,Spiral_Grown,10,500,1.260782241821289,0.0,[1.],0.001,5000,0.01
2,Spiral_Grown,10,600,1.2510026693344116,0.0,[1.],0.001,5000,0.01
2,Spiral_Grown,10,700,1.2418915033340454,0.0,[1.],0.001,5000,0.01
2,Spiral_Grown,10,800,1.2315871715545654,0.0,[1.],0.001,5000,0.01
2,Spiral_Grown,10,900,1.2186862230300903,0.0,[1.],0.001,5000,0.01
2,Spiral_Grown,10,1000,1.2017858028411865,0.0,[1.],0.001,5000,0.01
2,Spiral_Grown,10,1100,1.1795988082885742,0.0,[1.],0.001,5000,0.01
2,Spiral_Grown,10,1200,1.1514124870300293,0.0,[1.],0.001,5000,0.01
2,Spiral_Grown,10,1300,1.1176791191101074,0.0,[1.],0.001,5000,0.01
2,Spiral_Grown,10,1400,1.0799973011016846,0.0,[1.],0.001,5000,0.01
2,Spiral_Grown,10,1500,1.0405137538909912,0.0,[1.],0.001,5000,0.01
2,Spiral_Grown,10,1600,1.001177191734314,0.0,[1.],0.001,5000,0.01
2,Spiral_Grown,10,1700,0.9632807374000549,0.0,[1.],0.001,5000,0.01
2,Spiral_Grown,10,1800,0.9273579120635986,0.0,[1.],0.001,5000,0.01
2,Spiral_Grown,10,1900,0.8933634757995605,0.0,[1.],0.001,5000,0.01
2,Spiral_Grown,10,2000,0.8610275387763977,0.0,[1.],0.001,5000,0.01
2,Spiral_Grown,10,2100,0.8301382660865784,0.0,[1.],0.001,5000,0.01
2,Spiral_Grown,10,2200,0.8006037473678589,0.0,[1.],0.001,5000,0.01
2,Spiral_Grown,10,2300,0.7724210619926453,0.0,[1.],0.001,5000,0.01
2,Spiral_Grown,10,2400,0.7456475496292114,0.0,[1.],0.001,5000,0.01
2,Spiral_Grown,10,2500,0.7203578352928162,0.0,[1.],0.001,5000,0.01
2,Spiral_Grown,10,2600,0.6965969204902649,0.0,[1.],0.001,5000,0.01
2,Spiral_Grown,10,2700,0.6743564009666443,0.0,[1.],0.001,5000,0.01
2,Spiral_Grown,10,2800,0.6535789966583252,0.0,[1.],0.001,5000,0.01
2,Spiral_Grown,10,2900,0.6341761350631714,0.0,[1.],0.001,5000,0.01
2,Spiral_Grown,10,3000,0.6160442233085632,0.0,[1.],0.001,5000,0.01
2,Spiral_Grown,10,3100,0.5990757942199707,0.0,[1.],0.001,5000,0.01
2,Spiral_Grown,10,3200,0.5831641554832458,0.0,[1.],0.001,5000,0.01
2,Spiral_Grown,10,3300,0.5682069063186646,0.0,[1.],0.001,5000,0.01
2,Spiral_Grown,10,3400,0.5541075468063354,0.0,[1.],0.001,5000,0.01
2,Spiral_Grown,10,3500,0.5407781004905701,0.0,[1.],0.001,5000,0.01
2,Spiral_Grown,10,3600,0.5281409025192261,0.0,[1.],0.001,5000,0.01
2,Spiral_Grown,10,3700,0.5161299705505371,0.0,[1.],0.001,5000,0.01
2,Spiral_Grown,10,3800,0.5046907663345337,0.0,[1.],0.001,5000,0.01
2,Spiral_Grown,10,3900,0.49377912282943726,0.0,[1.],0.001,5000,0.01
2,Spiral_Grown,10,4000,0.48335978388786316,0.0,[1.],0.001,5000,0.01
2,Spiral_Grown,10,4100,0.47340449690818787,0.0,[1.],0.001,5000,0.01
2,Spiral_Grown,10,4200,0.4638899564743042,0.0,[1.],0.001,5000,0.01
2,Spiral_Grown,10,4300,0.4547960162162781,0.0,[1.],0.001,5000,0.01
2,Spiral_Grown,10,4400,0.44610410928726196,0.0,[1.],0.001,5000,0.01
2,Spiral_Grown,10,4500,0.437796413898468,0.0,[1.],0.001,5000,0.01
2,Spiral_Grown,10,4600,0.42985522747039795,0.0,[1.],0.001,5000,0.01
2,Spiral_Grown,10,4700,0.4222632050514221,0.0,[1.],0.001,5000,0.01
2,Spiral_Grown,10,4800,0.41500335931777954,0.0,[1.],0.001,5000,0.01
2,Spiral_Grown,10,4900,0.4080597460269928,0.0,[1.],0.001,5000,0.01
2,Spiral_Growing,10,0,1.6264619827270508,0.009980043396353722,[0.00099832],0.001,5000,0.01
2,Spiral_Growing,10,100,1.6100610494613647,0.008114186115562916,[0.09921224],0.001,5000,0.01
2,Spiral_Growing,10,200,1.5547549724578857,0.0065218242816627026,[0.19242184],0.001,5000,0.01
2,Spiral_Growing,10,300,1.4313628673553467,0.005178344901651144,[0.28039283],0.001,5000,0.01
2,Spiral_Growing,10,400,1.3122694492340088,0.004057339392602444,[0.3630275],0.001,5000,0.01
2,Spiral_Growing,10,500,1.2605503797531128,0.003133390098810196,[0.44023305],0.001,5000,0.01
2,Spiral_Growing,10,600,1.2322721481323242,0.002382145496085286,[0.5119277],0.001,5000,0.01
2,Spiral_Growing,10,700,1.1978750228881836,0.0017804288072511554,[0.5780487],0.001,5000,0.01
2,Spiral_Growing,10,800,1.1508642435073853,0.0013063891092315316,[0.63855994],0.001,5000,0.01
2,Spiral_Growing,10,900,1.0912880897521973,0.0009396619279868901,[0.69346094],0.001,5000,0.01
2,Spiral_Growing,10,1000,1.0253032445907593,0.0006615376914851367,[0.74279624],0.001,5000,0.01
2,Spiral_Growing,10,1100,0.9625417590141296,0.0004551303281914443,[0.78666216],0.001,5000,0.01
2,Spiral_Growing,10,1200,0.9089731574058533,0.000305499677779153,[0.8252145],0.001,5000,0.01
2,Spiral_Growing,10,1300,0.864708662033081,0.00019974051974713802,[0.8586704],0.001,5000,0.01
2,Spiral_Growing,10,1400,0.8274443745613098,0.00012699338549282402,[0.88730866],0.001,5000,0.01
2,Spiral_Growing,10,1500,0.794935405254364,7.838490273570642e-05,[0.91146475],0.001,5000,0.01
2,Spiral_Growing,10,1600,0.7657122015953064,4.689014531322755e-05,[0.9315236],0.001,5000,0.01
2,Spiral_Growing,10,1700,0.7389671802520752,2.7138947189087048e-05,[0.94790494],0.001,5000,0.01
2,Spiral_Growing,10,1800,0.714247465133667,1.5170859114732593e-05,[0.9610502],0.001,5000,0.01
2,Spiral_Growing,10,1900,0.6912763118743896,8.17641648609424e-06,[0.97140557],0.001,5000,0.01
2,Spiral_Growing,10,2000,0.6698394417762756,4.2409569687151816e-06,[0.9794064],0.001,5000,0.01
2,Spiral_Growing,10,2100,0.6497775316238403,2.112942183885025e-06,[0.98546404],0.001,5000,0.01
2,Spiral_Growing,10,2200,0.6309869885444641,1.0091264357470209e-06,[0.9899545],0.001,5000,0.01
2,Spiral_Growing,10,2300,0.6134092211723328,4.6100623762868054e-07,[0.99321026],0.001,5000,0.01
2,Spiral_Growing,10,2400,0.5970112085342407,2.010196027413258e-07,[0.9955165],0.001,5000,0.01
2,Spiral_Growing,10,2500,0.5817594528198242,8.34378042213757e-08,[0.99711144],0.001,5000,0.01
2,Spiral_Growing,10,2600,0.5675975680351257,3.289975225584385e-08,[0.9981862],0.001,5000,0.01
2,Spiral_Growing,10,2700,0.5544407963752747,1.2287003414712672e-08,[0.99889153],0.001,5000,0.01
2,Spiral_Growing,10,2800,0.5421847701072693,4.334027359220727e-09,[0.99934167],0.001,5000,0.01
2,Spiral_Growing,10,2900,0.5307210087776184,1.4393187752759218e-09,[0.9996206],0.001,5000,0.01
2,Spiral_Growing,10,3000,0.5199505090713501,4.484877746957494e-10,[0.9997882],0.001,5000,0.01
2,Spiral_Growing,10,3100,0.5097849369049072,1.3083084615672647e-10,[0.9998856],0.001,5000,0.01
2,Spiral_Growing,10,3200,0.5001514554023743,3.545611720889852e-11,[0.99994045],0.001,5000,0.01
2,Spiral_Growing,10,3300,0.49098509550094604,8.846292622044505e-12,[0.99997026],0.001,5000,0.01
2,Spiral_Growing,10,3400,0.48223692178726196,2.115143563768962e-12,[0.99998546],0.001,5000,0.01
2,Spiral_Growing,10,3500,0.4738568663597107,5.030997862233433e-13,[0.9999929],0.001,5000,0.01
2,Spiral_Growing,10,3600,0.4658134877681732,1.1141309635932448e-13,[0.99999666],0.001,5000,0.01
2,Spiral_Growing,10,3700,0.45807933807373047,1.1141309635932448e-13,[0.99999666],0.001,5000,0.01
2,Spiral_Growing,10,3800,0.4506306052207947,1.1141309635932448e-13,[0.99999666],0.001,5000,0.01
2,Spiral_Growing,10,3900,0.4434620440006256,1.0746958878371515e-13,[0.9999967],0.001,5000,0.01
2,Spiral_Growing,10,4000,0.4365622401237488,9.606537435110848e-14,[0.9999969],0.001,5000,0.01
2,Spiral_Growing,10,4100,0.4299232065677643,8.881784197001252e-14,[0.999997],0.001,5000,0.01
2,Spiral_Growing,10,4200,0.4235334098339081,7.847944570680415e-14,[0.9999972],0.001,5000,0.01
2,Spiral_Growing,10,4300,0.4173874258995056,7.194245199571014e-14,[0.9999973],0.001,5000,0.01
2,Spiral_Growing,10,4400,0.4114779531955719,6.568967510786963e-14,[0.99999744],0.001,5000,0.01
2,Spiral_Growing,10,4500,0.4057958722114563,5.684341886080802e-14,[0.9999976],0.001,5000,0.01
2,Spiral_Growing,10,4600,0.40033358335494995,5.1301184031101246e-14,[0.99999774],0.001,5000,0.01
2,Spiral_Growing,10,4700,0.39508816599845886,4.6043169412779764e-14,[0.99999785],0.001,5000,0.01
2,Spiral_Growing,10,4800,0.3900388181209564,4.3520742565306136e-14,[0.9999979],0.001,5000,0.01
2,Spiral_Growing,10,4900,0.38517525792121887,3.868904979373311e-14,[0.99999803],0.001,5000,0.01
2,Spiral_Grown,10,0,1.5801812410354614,0.0,[1.],0.001,5000,0.02
2,Spiral_Grown,10,100,1.4671038389205933,0.0,[1.],0.001,5000,0.02
2,Spiral_Grown,10,200,1.3681955337524414,0.0,[1.],0.001,5000,0.02
2,Spiral_Grown,10,300,1.3053330183029175,0.0,[1.],0.001,5000,0.02
2,Spiral_Grown,10,400,1.2753956317901611,0.0,[1.],0.001,5000,0.02
2,Spiral_Grown,10,500,1.260782241821289,0.0,[1.],0.001,5000,0.02
2,Spiral_Grown,10,600,1.2510026693344116,0.0,[1.],0.001,5000,0.02
2,Spiral_Grown,10,700,1.2418915033340454,0.0,[1.],0.001,5000,0.02
2,Spiral_Grown,10,800,1.2315871715545654,0.0,[1.],0.001,5000,0.02
2,Spiral_Grown,10,900,1.2186862230300903,0.0,[1.],0.001,5000,0.02
2,Spiral_Grown,10,1000,1.2017858028411865,0.0,[1.],0.001,5000,0.02
2,Spiral_Grown,10,1100,1.1795988082885742,0.0,[1.],0.001,5000,0.02
2,Spiral_Grown,10,1200,1.1514124870300293,0.0,[1.],0.001,5000,0.02
2,Spiral_Grown,10,1300,1.1176791191101074,0.0,[1.],0.001,5000,0.02
2,Spiral_Grown,10,1400,1.0799973011016846,0.0,[1.],0.001,5000,0.02
2,Spiral_Grown,10,1500,1.0405137538909912,0.0,[1.],0.001,5000,0.02
2,Spiral_Grown,10,1600,1.001177191734314,0.0,[1.],0.001,5000,0.02
2,Spiral_Grown,10,1700,0.9632807374000549,0.0,[1.],0.001,5000,0.02
2,Spiral_Grown,10,1800,0.9273579120635986,0.0,[1.],0.001,5000,0.02
2,Spiral_Grown,10,1900,0.8933634757995605,0.0,[1.],0.001,5000,0.02
2,Spiral_Grown,10,2000,0.8610275387763977,0.0,[1.],0.001,5000,0.02
2,Spiral_Grown,10,2100,0.8301382660865784,0.0,[1.],0.001,5000,0.02
2,Spiral_Grown,10,2200,0.8006037473678589,0.0,[1.],0.001,5000,0.02
2,Spiral_Grown,10,2300,0.7724210619926453,0.0,[1.],0.001,5000,0.02
2,Spiral_Grown,10,2400,0.7456475496292114,0.0,[1.],0.001,5000,0.02
2,Spiral_Grown,10,2500,0.7203578352928162,0.0,[1.],0.001,5000,0.02
2,Spiral_Grown,10,2600,0.6965969204902649,0.0,[1.],0.001,5000,0.02
2,Spiral_Grown,10,2700,0.6743564009666443,0.0,[1.],0.001,5000,0.02
2,Spiral_Grown,10,2800,0.6535789966583252,0.0,[1.],0.001,5000,0.02
2,Spiral_Grown,10,2900,0.6341761350631714,0.0,[1.],0.001,5000,0.02
2,Spiral_Grown,10,3000,0.6160442233085632,0.0,[1.],0.001,5000,0.02
