Network_Type,Epoch,Base_Loss,Learning_Rate,Num_Epochs,Size_Influence
Bessel_Grown,0,0.5117631554603577,0.001,5000,0.01
Bessel_Grown,100,0.3848196268081665,0.001,5000,0.01
Bessel_Grown,200,0.36028578877449036,0.001,5000,0.01
Bessel_Grown,300,0.3452959656715393,0.001,5000,0.01
Bessel_Grown,400,0.32368502020835876,0.001,5000,0.01
Bessel_Grown,500,0.29295507073402405,0.001,5000,0.01
Bessel_Grown,600,0.2548457980155945,0.001,5000,0.01
Bessel_Grown,700,0.21425317227840424,0.001,5000,0.01
Bessel_Grown,800,0.17634393274784088,0.001,5000,0.01
Bessel_Grown,900,0.14412958920001984,0.001,5000,0.01
Bessel_Grown,1000,0.11807553470134735,0.001,5000,0.01
Bessel_Grown,1100,0.09721285849809647,0.001,5000,0.01
Bessel_Grown,1200,0.080345019698143,0.001,5000,0.01
Bessel_Grown,1300,0.0665353313088417,0.001,5000,0.01
Bessel_Grown,1400,0.05509678274393082,0.001,5000,0.01
Bessel_Grown,1500,0.04539094120264053,0.001,5000,0.01
Bessel_Grown,1600,0.0369911789894104,0.001,5000,0.01
Bessel_Grown,1700,0.029881784692406654,0.001,5000,0.01
Bessel_Grown,1800,0.024227380752563477,0.001,5000,0.01
Bessel_Grown,1900,0.020013319328427315,0.001,5000,0.01
Bessel_Grown,2000,0.016973089426755905,0.001,5000,0.01
Bessel_Grown,2100,0.014733652584254742,0.001,5000,0.01
Bessel_Grown,2200,0.012980540283024311,0.001,5000,0.01
Bessel_Grown,2300,0.011532324366271496,0.001,5000,0.01
Bessel_Grown,2400,0.010310709476470947,0.001,5000,0.01
Bessel_Grown,2500,0.009275234304368496,0.001,5000,0.01
Bessel_Grown,2600,0.00839486438781023,0.001,5000,0.01
Bessel_Grown,2700,0.007644842844456434,0.001,5000,0.01
Bessel_Grown,2800,0.007005456835031509,0.001,5000,0.01
Bessel_Grown,2900,0.006460793782025576,0.001,5000,0.01
Bessel_Grown,3000,0.0059976642951369286,0.001,5000,0.01
Bessel_Grown,3100,0.005604743026196957,0.001,5000,0.01
Bessel_Grown,3200,0.00527200335636735,0.001,5000,0.01
Bessel_Grown,3300,0.004990254528820515,0.001,5000,0.01
Bessel_Grown,3400,0.004750959575176239,0.001,5000,0.01
Bessel_Grown,3500,0.004546153359115124,0.001,5000,0.01
Bessel_Grown,3600,0.004368487745523453,0.001,5000,0.01
Bessel_Grown,3700,0.004211331717669964,0.001,5000,0.01
Bessel_Grown,3800,0.004068843554705381,0.001,5000,0.01
Bessel_Grown,3900,0.003936011344194412,0.001,5000,0.01
Bessel_Grown,4000,0.003808597568422556,0.001,5000,0.01
Bessel_Grown,4100,0.0036829577293246984,0.001,5000,0.01
Bessel_Grown,4200,0.0035558149684220552,0.001,5000,0.01
Bessel_Grown,4300,0.0034239792730659246,0.001,5000,0.01
Bessel_Grown,4400,0.003284140955656767,0.001,5000,0.01
Bessel_Grown,4500,0.0031329048797488213,0.001,5000,0.01
Bessel_Grown,4600,0.0029674277175217867,0.001,5000,0.01
Bessel_Grown,4700,0.00278675789013505,0.001,5000,0.01
Bessel_Grown,4800,0.0025926679372787476,0.001,5000,0.01
Bessel_Grown,4900,0.0023881844244897366,0.001,5000,0.01
Bessel_Growing,0,0.565336287021637,0.001,5000,0.01
Bessel_Growing,100,0.47509846091270447,0.001,5000,0.01
Bessel_Growing,200,0.37974226474761963,0.001,5000,0.01
Bessel_Growing,300,0.3792896270751953,0.001,5000,0.01
Bessel_Growing,400,0.3730018734931946,0.001,5000,0.01
Bessel_Growing,500,0.363535076379776,0.001,5000,0.01
Bessel_Growing,600,0.3424583077430725,0.001,5000,0.01
Bessel_Growing,700,0.3053027391433716,0.001,5000,0.01
Bessel_Growing,800,0.2471936047077179,0.001,5000,0.01
Bessel_Growing,900,0.1860283613204956,0.001,5000,0.01
Bessel_Growing,1000,0.14179818332195282,0.001,5000,0.01
Bessel_Growing,1100,0.10486806184053421,0.001,5000,0.01
Bessel_Growing,1200,0.07434388250112534,0.001,5000,0.01
Bessel_Growing,1300,0.05129019543528557,0.001,5000,0.01
Bessel_Growing,1400,0.03661314398050308,0.001,5000,0.01
Bessel_Growing,1500,0.028361307457089424,0.001,5000,0.01
Bessel_Growing,1600,0.023411115631461143,0.001,5000,0.01
Bessel_Growing,1700,0.019840290769934654,0.001,5000,0.01
Bessel_Growing,1800,0.01699642650783062,0.001,5000,0.01
Bessel_Growing,1900,0.01456165499985218,0.001,5000,0.01
Bessel_Growing,2000,0.012382879853248596,0.001,5000,0.01
Bessel_Growing,2100,0.010462045669555664,0.001,5000,0.01
Bessel_Growing,2200,0.00878835003823042,0.001,5000,0.01
Bessel_Growing,2300,0.007357774768024683,0.001,5000,0.01
Bessel_Growing,2400,0.006160438992083073,0.001,5000,0.01
Bessel_Growing,2500,0.00517016276717186,0.001,5000,0.01
Bessel_Growing,2600,0.004363914020359516,0.001,5000,0.01
Bessel_Growing,2700,0.003740284126251936,0.001,5000,0.01
Bessel_Growing,2800,0.0032807530369609594,0.001,5000,0.01
Bessel_Growing,2900,0.0029337096493691206,0.001,5000,0.01
Bessel_Growing,3000,0.0026409998536109924,0.001,5000,0.01
Bessel_Growing,3100,0.0023436052724719048,0.001,5000,0.01
Bessel_Growing,3200,0.002008399460464716,0.001,5000,0.01
Bessel_Growing,3300,0.0016829890664666891,0.001,5000,0.01
Bessel_Growing,3400,0.0013882011407986283,0.001,5000,0.01
Bessel_Growing,3500,0.001138006686232984,0.001,5000,0.01
Bessel_Growing,3600,0.0009333905181847513,0.001,5000,0.01
Bessel_Growing,3700,0.0007661762065254152,0.001,5000,0.01
Bessel_Growing,3800,0.0006262515671551228,0.001,5000,0.01
Bessel_Growing,3900,0.0005086775054223835,0.001,5000,0.01
Bessel_Growing,4000,0.00041120185051113367,0.001,5000,0.01
Bessel_Growing,4100,0.00033179682213813066,0.001,5000,0.01
Bessel_Growing,4200,0.0002685382205527276,0.001,5000,0.01
Bessel_Growing,4300,0.00021913052478339523,0.001,5000,0.01
Bessel_Growing,4400,0.00018115977582056075,0.001,5000,0.01
Bessel_Growing,4500,0.0001526717096567154,0.001,5000,0.01
Bessel_Growing,4600,0.00013106483675073832,0.001,5000,0.01
Bessel_Growing,4700,0.00011537849786691368,0.001,5000,0.01
Bessel_Growing,4800,0.00010325228504370898,0.001,5000,0.01
Bessel_Growing,4900,9.433255036128685e-05,0.001,5000,0.01
Bessel_Grown,0,0.5117631554603577,0.001,5000,0.02
Bessel_Grown,100,0.3848196268081665,0.001,5000,0.02
Bessel_Grown,200,0.36028578877449036,0.001,5000,0.02
Bessel_Grown,300,0.3452959656715393,0.001,5000,0.02
Bessel_Grown,400,0.32368502020835876,0.001,5000,0.02
Bessel_Grown,500,0.29295507073402405,0.001,5000,0.02
Bessel_Grown,600,0.2548457980155945,0.001,5000,0.02
Bessel_Grown,700,0.21425317227840424,0.001,5000,0.02
Bessel_Grown,800,0.17634393274784088,0.001,5000,0.02
Bessel_Grown,900,0.14412958920001984,0.001,5000,0.02
Bessel_Grown,1000,0.11807553470134735,0.001,5000,0.02
Bessel_Grown,1100,0.09721285849809647,0.001,5000,0.02
Bessel_Grown,1200,0.080345019698143,0.001,5000,0.02
Bessel_Grown,1300,0.0665353313088417,0.001,5000,0.02
Bessel_Grown,1400,0.05509678274393082,0.001,5000,0.02
Bessel_Grown,1500,0.04539094120264053,0.001,5000,0.02
Bessel_Grown,1600,0.0369911789894104,0.001,5000,0.02
Bessel_Grown,1700,0.029881784692406654,0.001,5000,0.02
Bessel_Grown,1800,0.024227380752563477,0.001,5000,0.02
Bessel_Grown,1900,0.020013319328427315,0.001,5000,0.02
Bessel_Grown,2000,0.016973089426755905,0.001,5000,0.02
Bessel_Grown,2100,0.014733652584254742,0.001,5000,0.02
Bessel_Grown,2200,0.012980540283024311,0.001,5000,0.02
Bessel_Grown,2300,0.011532324366271496,0.001,5000,0.02
Bessel_Grown,2400,0.010310709476470947,0.001,5000,0.02
Bessel_Grown,2500,0.009275234304368496,0.001,5000,0.02
Bessel_Grown,2600,0.00839486438781023,0.001,5000,0.02
Bessel_Grown,2700,0.007644842844456434,0.001,5000,0.02
Bessel_Grown,2800,0.007005456835031509,0.001,5000,0.02
Bessel_Grown,2900,0.006460793782025576,0.001,5000,0.02
Bessel_Grown,3000,0.0059976642951369286,0.001,5000,0.02
Bessel_Grown,3100,0.005604743026196957,0.001,5000,0.02
Bessel_Grown,3200,0.00527200335636735,0.001,5000,0.02
Bessel_Grown,3300,0.004990254528820515,0.001,5000,0.02
Bessel_Grown,3400,0.004750959575176239,0.001,5000,0.02
Bessel_Grown,3500,0.004546153359115124,0.001,5000,0.02
Bessel_Grown,3600,0.004368487745523453,0.001,5000,0.02
Bessel_Grown,3700,0.004211331717669964,0.001,5000,0.02
Bessel_Grown,3800,0.004068843554705381,0.001,5000,0.02
Bessel_Grown,3900,0.003936011344194412,0.001,5000,0.02
Bessel_Grown,4000,0.003808597568422556,0.001,5000,0.02
Bessel_Grown,4100,0.0036829577293246984,0.001,5000,0.02
Bessel_Grown,4200,0.0035558149684220552,0.001,5000,0.02
Bessel_Grown,4300,0.0034239792730659246,0.001,5000,0.02
Bessel_Grown,4400,0.003284140955656767,0.001,5000,0.02
Bessel_Grown,4500,0.0031329048797488213,0.001,5000,0.02
Bessel_Grown,4600,0.0029674277175217867,0.001,5000,0.02
Bessel_Grown,4700,0.00278675789013505,0.001,5000,0.02
Bessel_Grown,4800,0.0025926679372787476,0.001,5000,0.02
Bessel_Grown,4900,0.0023881844244897366,0.001,5000,0.02
Bessel_Growing,0,0.565336287021637,0.001,5000,0.02
Bessel_Growing,100,0.47509846091270447,0.001,5000,0.02
Bessel_Growing,200,0.37974226474761963,0.001,5000,0.02
Bessel_Growing,300,0.3792896270751953,0.001,5000,0.02
Bessel_Growing,400,0.3730018734931946,0.001,5000,0.02
Bessel_Growing,500,0.3635350465774536,0.001,5000,0.02
Bessel_Growing,600,0.34245821833610535,0.001,5000,0.02
Bessel_Growing,700,0.30530259013175964,0.001,5000,0.02
Bessel_Growing,800,0.24719350039958954,0.001,5000,0.02
Bessel_Growing,900,0.18602830171585083,0.001,5000,0.02
Bessel_Growing,1000,0.14179810881614685,0.001,5000,0.02
Bessel_Growing,1100,0.10486800968647003,0.001,5000,0.02
Bessel_Growing,1200,0.07434383779764175,0.001,5000,0.02
Bessel_Growing,1300,0.05129016935825348,0.001,5000,0.02
Bessel_Growing,1400,0.03661311790347099,0.001,5000,0.02
Bessel_Growing,1500,0.028361301869153976,0.001,5000,0.02
Bessel_Growing,1600,0.023411106318235397,0.001,5000,0.02
Bessel_Growing,1700,0.019840290769934654,0.001,5000,0.02
Bessel_Growing,1800,0.016996417194604874,0.001,5000,0.02
Bessel_Growing,1900,0.014561653137207031,0.001,5000,0.02
Bessel_Growing,2000,0.012382877059280872,0.001,5000,0.02
Bessel_Growing,2100,0.010462046600878239,0.001,5000,0.02
Bessel_Growing,2200,0.008788353763520718,0.001,5000,0.02
Bessel_Growing,2300,0.007357780355960131,0.001,5000,0.02
Bessel_Growing,2400,0.006160445045679808,0.001,5000,0.02
Bessel_Growing,2500,0.0051701744087040424,0.001,5000,0.02
Bessel_Growing,2600,0.004363929852843285,0.001,5000,0.02
Bessel_Growing,2700,0.0037402992602437735,0.001,5000,0.02
Bessel_Growing,2800,0.0032807665411382914,0.001,5000,0.02
Bessel_Growing,2900,0.002933718031272292,0.001,5000,0.02
Bessel_Growing,3000,0.002640913240611553,0.001,5000,0.02
Bessel_Growing,3100,0.0023427573032677174,0.001,5000,0.02
Bessel_Growing,3200,0.00200823275372386,0.001,5000,0.02
Bessel_Growing,3300,0.0016824788181111217,0.001,5000,0.02
Bessel_Growing,3400,0.0013880281476303935,0.001,5000,0.02
Bessel_Growing,3500,0.0011375988833606243,0.001,5000,0.02
Bessel_Growing,3600,0.0009332299814559519,0.001,5000,0.02
Bessel_Growing,3700,0.0007659545517526567,0.001,5000,0.02
Bessel_Growing,3800,0.0006262267124839127,0.001,5000,0.02
Bessel_Growing,3900,0.0005086060264147818,0.001,5000,0.02
Bessel_Growing,4000,0.0004111862799618393,0.001,5000,0.02
Bessel_Growing,4100,0.0003320774994790554,0.001,5000,0.02
Bessel_Growing,4200,0.000268531875917688,0.001,5000,0.02
Bessel_Growing,4300,0.000219042063690722,0.001,5000,0.02
Bessel_Growing,4400,0.00018114424892701209,0.001,5000,0.02
Bessel_Growing,4500,0.0001524237304693088,0.001,5000,0.02
Bessel_Growing,4600,0.0001310152147198096,0.001,5000,0.02
Bessel_Growing,4700,0.00011509002069942653,0.001,5000,0.02
Bessel_Growing,4800,0.00010322611342417076,0.001,5000,0.02
Bessel_Growing,4900,9.43372942856513e-05,0.001,5000,0.02
Bessel_Grown,0,0.5117631554603577,0.001,5000,0.03
Bessel_Grown,100,0.3848196268081665,0.001,5000,0.03
Bessel_Grown,200,0.36028578877449036,0.001,5000,0.03
