Network_Type,Epoch,Base_Loss,Learning_Rate,Num_Epochs,Size_Influence
Bessel_Grown,0,0.38107648491859436,0.001,5000,0.01
Bessel_Grown,100,0.3605501055717468,0.001,5000,0.01
Bessel_Grown,200,0.34695354104042053,0.001,5000,0.01
Bessel_Grown,300,0.31759923696517944,0.001,5000,0.01
Bessel_Grown,400,0.2647590935230255,0.001,5000,0.01
Bessel_Grown,500,0.2033710926771164,0.001,5000,0.01
Bessel_Grown,600,0.15557587146759033,0.001,5000,0.01
Bessel_Grown,700,0.12381745874881744,0.001,5000,0.01
Bessel_Grown,800,0.10251365602016449,0.001,5000,0.01
Bessel_Grown,900,0.08667100220918655,0.001,5000,0.01
Bessel_Grown,1000,0.07361599802970886,0.001,5000,0.01
Bessel_Grown,1100,0.06243029609322548,0.001,5000,0.01
Bessel_Grown,1200,0.0531921349465847,0.001,5000,0.01
Bessel_Grown,1300,0.0457816980779171,0.001,5000,0.01
Bessel_Grown,1400,0.03975089639425278,0.001,5000,0.01
Bessel_Grown,1500,0.03477388247847557,0.001,5000,0.01
Bessel_Grown,1600,0.030635688453912735,0.001,5000,0.01
Bessel_Grown,1700,0.027074376121163368,0.001,5000,0.01
Bessel_Grown,1800,0.0239308699965477,0.001,5000,0.01
Bessel_Grown,1900,0.021125130355358124,0.001,5000,0.01
Bessel_Grown,2000,0.018608333542943,0.001,5000,0.01
Bessel_Grown,2100,0.016350923106074333,0.001,5000,0.01
Bessel_Grown,2200,0.01433821301907301,0.001,5000,0.01
Bessel_Grown,2300,0.012564457952976227,0.001,5000,0.01
Bessel_Grown,2400,0.01102372445166111,0.001,5000,0.01
Bessel_Grown,2500,0.009701261296868324,0.001,5000,0.01
Bessel_Grown,2600,0.008573981001973152,0.001,5000,0.01
Bessel_Grown,2700,0.007613807450979948,0.001,5000,0.01
Bessel_Grown,2800,0.006794313434511423,0.001,5000,0.01
Bessel_Grown,2900,0.006093685980886221,0.001,5000,0.01
Bessel_Grown,3000,0.005492320284247398,0.001,5000,0.01
Bessel_Grown,3100,0.004972612019628286,0.001,5000,0.01
