Network_Type,Epoch,Base_Loss,Learning_Rate,Num_Epochs,Size_Influence
Bessel_Grown,0,0.4046708345413208,0.001,5000,0.01
Bessel_Grown,100,0.36905181407928467,0.001,5000,0.01
Bessel_Grown,200,0.3572657108306885,0.001,5000,0.01
Bessel_Grown,300,0.34205448627471924,0.001,5000,0.01
Bessel_Grown,400,0.31776291131973267,0.001,5000,0.01
Bessel_Grown,500,0.2797451615333557,0.001,5000,0.01
Bessel_Grown,600,0.23241598904132843,0.001,5000,0.01
Bessel_Grown,700,0.18746599555015564,0.001,5000,0.01
Bessel_Grown,800,0.15211065113544464,0.001,5000,0.01
Bessel_Grown,900,0.12684784829616547,0.001,5000,0.01
Bessel_Grown,1000,0.10931441187858582,0.001,5000,0.01
Bessel_Grown,1100,0.09677719324827194,0.001,5000,0.01
Bessel_Grown,1200,0.08705002814531326,0.001,5000,0.01
Bessel_Grown,1300,0.0787224993109703,0.001,5000,0.01
Bessel_Grown,1400,0.07099387049674988,0.001,5000,0.01
Bessel_Grown,1500,0.06334055215120316,0.001,5000,0.01
Bessel_Grown,1600,0.05535661429166794,0.001,5000,0.01
Bessel_Grown,1700,0.04678380489349365,0.001,5000,0.01
Bessel_Grown,1800,0.03798496350646019,0.001,5000,0.01
Bessel_Grown,1900,0.02998494915664196,0.001,5000,0.01
Bessel_Grown,2000,0.023488305509090424,0.001,5000,0.01
Bessel_Grown,2100,0.018652891740202904,0.001,5000,0.01
Bessel_Grown,2200,0.015172111801803112,0.001,5000,0.01
Bessel_Grown,2300,0.012581463903188705,0.001,5000,0.01
Bessel_Grown,2400,0.010522867552936077,0.001,5000,0.01
Bessel_Grown,2500,0.008814776316285133,0.001,5000,0.01
Bessel_Grown,2600,0.00737860519438982,0.001,5000,0.01
Bessel_Grown,2700,0.006172602530568838,0.001,5000,0.01
Bessel_Grown,2800,0.005171432159841061,0.001,5000,0.01
Bessel_Grown,2900,0.00435524620115757,0.001,5000,0.01
Bessel_Grown,3000,0.003701787209138274,0.001,5000,0.01
Bessel_Grown,3100,0.0031853297259658575,0.001,5000,0.01
Bessel_Grown,3200,0.00277938274666667,0.001,5000,0.01
Bessel_Grown,3300,0.0024591137189418077,0.001,5000,0.01
Bessel_Grown,3400,0.002202659612521529,0.001,5000,0.01
Bessel_Grown,3500,0.0019917672034353018,0.001,5000,0.01
