Seed,Network_Type,N_max,Epoch,Base_Loss,Size_Loss,Hidden_Layer_Size,Learning_Rate,Num_Epochs,Size_Influence
5,Spiral_Grown,10,0,1.6912437677383423,0.0,[1.],0.001,5000,0.01
5,Spiral_Grown,10,100,1.5570719242095947,0.0,[1.],0.001,5000,0.01
5,Spiral_Grown,10,200,1.4692351818084717,0.0,[1.],0.001,5000,0.01
5,Spiral_Grown,10,300,1.3800264596939087,0.0,[1.],0.001,5000,0.01
5,Spiral_Grown,10,400,1.3159642219543457,0.0,[1.],0.001,5000,0.01
5,Spiral_Grown,10,500,1.2832794189453125,0.0,[1.],0.001,5000,0.01
5,Spiral_Grown,10,600,1.2675724029541016,0.0,[1.],0.001,5000,0.01
5,Spiral_Grown,10,700,1.2586703300476074,0.0,[1.],0.001,5000,0.01
5,Spiral_Grown,10,800,1.2519515752792358,0.0,[1.],0.001,5000,0.01
5,Spiral_Grown,10,900,1.2456140518188477,0.0,[1.],0.001,5000,0.01
5,Spiral_Grown,10,1000,1.2389397621154785,0.0,[1.],0.001,5000,0.01
5,Spiral_Grown,10,1100,1.2314985990524292,0.0,[1.],0.001,5000,0.01
5,Spiral_Grown,10,1200,1.2227506637573242,0.0,[1.],0.001,5000,0.01
5,Spiral_Grown,10,1300,1.2117904424667358,0.0,[1.],0.001,5000,0.01
5,Spiral_Grown,10,1400,1.197342038154602,0.0,[1.],0.001,5000,0.01
5,Spiral_Grown,10,1500,1.178268313407898,0.0,[1.],0.001,5000,0.01
5,Spiral_Grown,10,1600,1.1535779237747192,0.0,[1.],0.001,5000,0.01
5,Spiral_Grown,10,1700,1.1225934028625488,0.0,[1.],0.001,5000,0.01
5,Spiral_Grown,10,1800,1.0860012769699097,0.0,[1.],0.001,5000,0.01
5,Spiral_Grown,10,1900,1.0457252264022827,0.0,[1.],0.001,5000,0.01
5,Spiral_Grown,10,2000,1.003638744354248,0.0,[1.],0.001,5000,0.01
5,Spiral_Grown,10,2100,0.961708128452301,0.0,[1.],0.001,5000,0.01
5,Spiral_Grown,10,2200,0.9221169948577881,0.0,[1.],0.001,5000,0.01
5,Spiral_Grown,10,2300,0.8851577639579773,0.0,[1.],0.001,5000,0.01
5,Spiral_Grown,10,2400,0.8508889079093933,0.0,[1.],0.001,5000,0.01
5,Spiral_Grown,10,2500,0.8193246722221375,0.0,[1.],0.001,5000,0.01
5,Spiral_Grown,10,2600,0.7904269695281982,0.0,[1.],0.001,5000,0.01
5,Spiral_Grown,10,2700,0.7641134262084961,0.0,[1.],0.001,5000,0.01
5,Spiral_Grown,10,2800,0.7401613593101501,0.0,[1.],0.001,5000,0.01
5,Spiral_Grown,10,2900,0.7181854844093323,0.0,[1.],0.001,5000,0.01
5,Spiral_Grown,10,3000,0.6977521777153015,0.0,[1.],0.001,5000,0.01
5,Spiral_Grown,10,3100,0.6784976720809937,0.0,[1.],0.001,5000,0.01
