Network_Type,Epoch,Base_Loss,Learning_Rate,Num_Epochs,Size_Influence
Bessel_Grown,0,0.3892877697944641,0.001,5000,0.01
Bessel_Grown,100,0.36134055256843567,0.001,5000,0.01
Bessel_Grown,200,0.3412465453147888,0.001,5000,0.01
Bessel_Grown,300,0.30424898862838745,0.001,5000,0.01
Bessel_Grown,400,0.24932928383350372,0.001,5000,0.01
Bessel_Grown,500,0.1949283331632614,0.001,5000,0.01
Bessel_Grown,600,0.15377439558506012,0.001,5000,0.01
Bessel_Grown,700,0.12587638199329376,0.001,5000,0.01
Bessel_Grown,800,0.10659688711166382,0.001,5000,0.01
Bessel_Grown,900,0.08768317848443985,0.001,5000,0.01
Bessel_Grown,1000,0.06980127096176147,0.001,5000,0.01
Bessel_Grown,1100,0.056861329823732376,0.001,5000,0.01
Bessel_Grown,1200,0.046752817928791046,0.001,5000,0.01
Bessel_Grown,1300,0.03876364976167679,0.001,5000,0.01
Bessel_Grown,1400,0.0325729139149189,0.001,5000,0.01
Bessel_Grown,1500,0.027795366942882538,0.001,5000,0.01
Bessel_Grown,1600,0.024030247703194618,0.001,5000,0.01
Bessel_Grown,1700,0.020973393693566322,0.001,5000,0.01
Bessel_Grown,1800,0.018429141491651535,0.001,5000,0.01
Bessel_Grown,1900,0.01627492532134056,0.001,5000,0.01
Bessel_Grown,2000,0.014429260976612568,0.001,5000,0.01
Bessel_Grown,2100,0.012833635322749615,0.001,5000,0.01
Bessel_Grown,2200,0.011442163027822971,0.001,5000,0.01
Bessel_Grown,2300,0.010214297100901604,0.001,5000,0.01
Bessel_Grown,2400,0.009106823243200779,0.001,5000,0.01
Bessel_Grown,2500,0.008063224144279957,0.001,5000,0.01
Bessel_Grown,2600,0.007042741868644953,0.001,5000,0.01
Bessel_Grown,2700,0.00611052755266428,0.001,5000,0.01
Bessel_Grown,2800,0.005336424335837364,0.001,5000,0.01
Bessel_Grown,2900,0.004689240828156471,0.001,5000,0.01
Bessel_Grown,3000,0.004139080177992582,0.001,5000,0.01
Bessel_Grown,3100,0.0036691748537123203,0.001,5000,0.01
Bessel_Grown,3200,0.003267234656959772,0.001,5000,0.01
Bessel_Grown,3300,0.002921514678746462,0.001,5000,0.01
Bessel_Grown,3400,0.002619985258206725,0.001,5000,0.01
Bessel_Grown,3500,0.0023499825038015842,0.001,5000,0.01
Bessel_Grown,3600,0.002099450444802642,0.001,5000,0.01
Bessel_Grown,3700,0.0018634711159393191,0.001,5000,0.01
Bessel_Grown,3800,0.0016491602873429656,0.001,5000,0.01
Bessel_Grown,3900,0.001460020779632032,0.001,5000,0.01
Bessel_Grown,4000,0.0012934263795614243,0.001,5000,0.01
Bessel_Grown,4100,0.0011451313039287925,0.001,5000,0.01
Bessel_Grown,4200,0.001013109227642417,0.001,5000,0.01
Bessel_Grown,4300,0.0008955541416071355,0.001,5000,0.01
Bessel_Grown,4400,0.0007922513177618384,0.001,5000,0.01
Bessel_Grown,4500,0.0007026888779364526,0.001,5000,0.01
Bessel_Grown,4600,0.0006252330495044589,0.001,5000,0.01
Bessel_Grown,4700,0.0005583910970017314,0.001,5000,0.01
Bessel_Grown,4800,0.0005004953127354383,0.001,5000,0.01
Bessel_Grown,4900,0.0004503862583078444,0.001,5000,0.01
Bessel_Growing,0,0.37698057293891907,0.001,5000,0.01
Bessel_Growing,100,0.3691856861114502,0.001,5000,0.01
Bessel_Growing,200,0.3599865734577179,0.001,5000,0.01
Bessel_Growing,300,0.3232327103614807,0.001,5000,0.01
Bessel_Growing,400,0.24516721069812775,0.001,5000,0.01
Bessel_Growing,500,0.15580177307128906,0.001,5000,0.01
Bessel_Growing,600,0.09416431933641434,0.001,5000,0.01
Bessel_Growing,700,0.05784897133708,0.001,5000,0.01
Bessel_Growing,800,0.0394175760447979,0.001,5000,0.01
Bessel_Growing,900,0.029879320412874222,0.001,5000,0.01
