Seed,Network_Type,N_max,Epoch,Base_Loss,Size_Loss,Hidden_Layer_Size,Learning_Rate,Num_Epochs,Size_Influence
1,Spiral_Grown,10,0,1.6390364170074463,0.0,[1.],0.001,5000,0.01
1,Spiral_Grown,10,100,1.545854926109314,0.0,[1.],0.001,5000,0.01
1,Spiral_Grown,10,200,1.4441869258880615,0.0,[1.],0.001,5000,0.01
1,Spiral_Grown,10,300,1.3520653247833252,0.0,[1.],0.001,5000,0.01
1,Spiral_Grown,10,400,1.2982468605041504,0.0,[1.],0.001,5000,0.01
1,Spiral_Grown,10,500,1.2737406492233276,0.0,[1.],0.001,5000,0.01
1,Spiral_Grown,10,600,1.2618796825408936,0.0,[1.],0.001,5000,0.01
1,Spiral_Grown,10,700,1.2532591819763184,0.0,[1.],0.001,5000,0.01
1,Spiral_Grown,10,800,1.2444161176681519,0.0,[1.],0.001,5000,0.01
1,Spiral_Grown,10,900,1.2338995933532715,0.0,[1.],0.001,5000,0.01
1,Spiral_Grown,10,1000,1.2206960916519165,0.0,[1.],0.001,5000,0.01
1,Spiral_Grown,10,1100,1.2040026187896729,0.0,[1.],0.001,5000,0.01
1,Spiral_Grown,10,1200,1.1832292079925537,0.0,[1.],0.001,5000,0.01
1,Spiral_Grown,10,1300,1.157893419265747,0.0,[1.],0.001,5000,0.01
1,Spiral_Grown,10,1400,1.127646803855896,0.0,[1.],0.001,5000,0.01
1,Spiral_Grown,10,1500,1.093127727508545,0.0,[1.],0.001,5000,0.01
1,Spiral_Grown,10,1600,1.0560994148254395,0.0,[1.],0.001,5000,0.01
1,Spiral_Grown,10,1700,1.018523931503296,0.0,[1.],0.001,5000,0.01
1,Spiral_Grown,10,1800,0.9819687008857727,0.0,[1.],0.001,5000,0.01
1,Spiral_Grown,10,1900,0.9474655389785767,0.0,[1.],0.001,5000,0.01
1,Spiral_Grown,10,2000,0.9156424403190613,0.0,[1.],0.001,5000,0.01
1,Spiral_Grown,10,2100,0.8867065906524658,0.0,[1.],0.001,5000,0.01
1,Spiral_Grown,10,2200,0.8605408072471619,0.0,[1.],0.001,5000,0.01
1,Spiral_Grown,10,2300,0.8368131518363953,0.0,[1.],0.001,5000,0.01
1,Spiral_Grown,10,2400,0.8150081038475037,0.0,[1.],0.001,5000,0.01
1,Spiral_Grown,10,2500,0.7944944500923157,0.0,[1.],0.001,5000,0.01
1,Spiral_Grown,10,2600,0.7747460603713989,0.0,[1.],0.001,5000,0.01
1,Spiral_Grown,10,2700,0.7555495500564575,0.0,[1.],0.001,5000,0.01
1,Spiral_Grown,10,2800,0.7369171380996704,0.0,[1.],0.001,5000,0.01
1,Spiral_Grown,10,2900,0.7189078330993652,0.0,[1.],0.001,5000,0.01
1,Spiral_Grown,10,3000,0.7015615105628967,0.0,[1.],0.001,5000,0.01
1,Spiral_Grown,10,3100,0.6849014163017273,0.0,[1.],0.001,5000,0.01
1,Spiral_Grown,10,3200,0.668940544128418,0.0,[1.],0.001,5000,0.01
1,Spiral_Grown,10,3300,0.6536778211593628,0.0,[1.],0.001,5000,0.01
1,Spiral_Grown,10,3400,0.6390898823738098,0.0,[1.],0.001,5000,0.01
1,Spiral_Grown,10,3500,0.6251263618469238,0.0,[1.],0.001,5000,0.01
1,Spiral_Grown,10,3600,0.6117162108421326,0.0,[1.],0.001,5000,0.01
1,Spiral_Grown,10,3700,0.5987769365310669,0.0,[1.],0.001,5000,0.01
1,Spiral_Grown,10,3800,0.5862240195274353,0.0,[1.],0.001,5000,0.01
1,Spiral_Grown,10,3900,0.5739647746086121,0.0,[1.],0.001,5000,0.01
1,Spiral_Grown,10,4000,0.5618643164634705,0.0,[1.],0.001,5000,0.01
1,Spiral_Grown,10,4100,0.5496867895126343,0.0,[1.],0.001,5000,0.01
1,Spiral_Grown,10,4200,0.5371657609939575,0.0,[1.],0.001,5000,0.01
1,Spiral_Grown,10,4300,0.5244314074516296,0.0,[1.],0.001,5000,0.01
1,Spiral_Grown,10,4400,0.5119695663452148,0.0,[1.],0.001,5000,0.01
1,Spiral_Grown,10,4500,0.5000468492507935,0.0,[1.],0.001,5000,0.01
1,Spiral_Grown,10,4600,0.4886991083621979,0.0,[1.],0.001,5000,0.01
1,Spiral_Grown,10,4700,0.47789791226387024,0.0,[1.],0.001,5000,0.01
1,Spiral_Grown,10,4800,0.4676085412502289,0.0,[1.],0.001,5000,0.01
1,Spiral_Grown,10,4900,0.45780065655708313,0.0,[1.],0.001,5000,0.01
1,Spiral_Growing,10,0,1.6171150207519531,0.009980238042771816,[0.00098852],0.001,5000,0.01
1,Spiral_Growing,10,100,1.6080470085144043,0.008114361204206944,[0.09920248],0.001,5000,0.01
1,Spiral_Growing,10,200,1.5714874267578125,0.006521979346871376,[0.19241229],0.001,5000,0.01
1,Spiral_Growing,10,300,1.4634798765182495,0.005178479943424463,[0.2803834],0.001,5000,0.01
1,Spiral_Growing,10,400,1.3411929607391357,0.0040574572049081326,[0.3630183],0.001,5000,0.01
1,Spiral_Growing,10,500,1.2753232717514038,0.00313349231146276,[0.44022396],0.001,5000,0.01
1,Spiral_Growing,10,600,1.243017554283142,0.002382231643423438,[0.5119189],0.001,5000,0.01
1,Spiral_Growing,10,700,1.214570164680481,0.001780500402674079,[0.57804024],0.001,5000,0.01
1,Spiral_Growing,10,800,1.1812407970428467,0.0013064469676464796,[0.63855195],0.001,5000,0.01
1,Spiral_Growing,10,900,1.1392147541046143,0.0009397065150551498,[0.69345367],0.001,5000,0.01
1,Spiral_Growing,10,1000,1.086572527885437,0.0006615732563659549,[0.7427893],0.001,5000,0.01
1,Spiral_Growing,10,1100,1.0268497467041016,0.00045515730744227767,[0.78665584],0.001,5000,0.01
1,Spiral_Growing,10,1200,0.9691641926765442,0.0003055190609302372,[0.82520896],0.001,5000,0.01
1,Spiral_Growing,10,1300,0.9171670079231262,0.00019975448958575726,[0.85866547],0.001,5000,0.01
1,Spiral_Growing,10,1400,0.8705126643180847,0.0001270022476091981,[0.8873047],0.001,5000,0.01
1,Spiral_Growing,10,1500,0.828727662563324,7.839081808924675e-05,[0.9114614],0.001,5000,0.01
1,Spiral_Growing,10,1600,0.7916901707649231,4.68942234874703e-05,[0.93152064],0.001,5000,0.01
1,Spiral_Growing,10,1700,0.7590113878250122,2.7141617465531453e-05,[0.9479024],0.001,5000,0.01
1,Spiral_Growing,10,1800,0.7299837470054626,1.5172530765994452e-05,[0.96104807],0.001,5000,0.01
1,Spiral_Growing,10,1900,0.7038506269454956,8.177506970241666e-06,[0.97140366],0.001,5000,0.01
1,Spiral_Growing,10,2000,0.6799996495246887,4.241570422891527e-06,[0.9794049],0.001,5000,0.01
1,Spiral_Growing,10,2100,0.6580132842063904,2.1132195797690656e-06,[0.9854631],0.001,5000,0.01
1,Spiral_Growing,10,2200,0.6376322507858276,1.0092580851051025e-06,[0.9899538],0.001,5000,0.01
1,Spiral_Growing,10,2300,0.6186990737915039,4.6108718265713833e-07,[0.99320966],0.001,5000,0.01
1,Spiral_Growing,10,2400,0.6011109948158264,2.01051676640418e-07,[0.9955161],0.001,5000,0.01
1,Spiral_Growing,10,2500,0.5847801566123962,8.34584668041316e-08,[0.9971111],0.001,5000,0.01
1,Spiral_Growing,10,2600,0.5696086287498474,3.291272676619883e-08,[0.9981858],0.001,5000,0.01
1,Spiral_Growing,10,2700,0.5554748177528381,1.229361146215524e-08,[0.99889123],0.001,5000,0.01
1,Spiral_Growing,10,2800,0.5422387719154358,4.337167069934367e-09,[0.9993414],0.001,5000,0.01
1,Spiral_Growing,10,2900,0.5297577977180481,1.4406759119012236e-09,[0.99962044],0.001,5000,0.01
1,Spiral_Growing,10,3000,0.5179027915000916,4.48992842905227e-10,[0.9997881],0.001,5000,0.01
1,Spiral_Growing,10,3100,0.5065644979476929,1.3096723705530167e-10,[0.99988556],0.001,5000,0.01
1,Spiral_Growing,10,3200,0.4956805408000946,3.552713678800501e-11,[0.9999404],0.001,5000,0.01
1,Spiral_Growing,10,3300,0.4852060079574585,8.846292622044505e-12,[0.99997026],0.001,5000,0.01
1,Spiral_Growing,10,3400,0.47513145208358765,2.115143563768962e-12,[0.99998546],0.001,5000,0.01
1,Spiral_Growing,10,3500,0.46546846628189087,5.030997862233433e-13,[0.9999929],0.001,5000,0.01
1,Spiral_Growing,10,3600,0.45622456073760986,1.1141309635932448e-13,[0.99999666],0.001,5000,0.01
1,Spiral_Growing,10,3700,0.44740772247314453,1.1141309635932448e-13,[0.99999666],0.001,5000,0.01
1,Spiral_Growing,10,3800,0.4390178322792053,1.1141309635932448e-13,[0.99999666],0.001,5000,0.01
1,Spiral_Growing,10,3900,0.43104615807533264,1.0746958878371515e-13,[0.9999967],0.001,5000,0.01
1,Spiral_Growing,10,4000,0.4234763979911804,9.606537435110848e-14,[0.9999969],0.001,5000,0.01
1,Spiral_Growing,10,4100,0.41628798842430115,8.881784197001252e-14,[0.999997],0.001,5000,0.01
1,Spiral_Growing,10,4200,0.4094642400741577,7.847944570680415e-14,[0.9999972],0.001,5000,0.01
1,Spiral_Growing,10,4300,0.4029793441295624,7.194245199571014e-14,[0.9999973],0.001,5000,0.01
1,Spiral_Growing,10,4400,0.39681029319763184,6.568967510786963e-14,[0.99999744],0.001,5000,0.01
